[e6] 
x-value,z-value,robots,orientation
-0.206841,2.49734,0,67.01, 
-0.203154,2.49583,0,67.15, 
-0.199437,2.49433,0,67.24, 
-0.195712,2.49284,0,67.32, 
-0.191983,2.49136,0,67.36, 
-0.188255,2.48988,0,67.4, 
-0.184534,2.48839,0,67.43, 
-0.180814,2.4869,0,67.44, 
-0.177095,2.48538,0,67.45, 
-0.173378,2.48383,0,67.46, 
-0.169661,2.48227,0,67.47, 
-0.165946,2.48072,0,67.47, 
-0.162231,2.47916,0,67.47, 
-0.158517,2.47761,0,67.47, 
-0.154803,2.47606,0,67.46, 
-0.15109,2.47451,0,67.46, 
-0.147377,2.47296,0,67.46, 
-0.143663,2.47141,0,67.46, 
-0.139948,2.46987,0,67.46, 
-0.136233,2.46833,0,67.46, 
-0.132522,2.46679,0,67.46, 
-0.128811,2.46526,0,67.46, 
-0.125102,2.46371,0,67.46, 
-0.121392,2.46217,0,67.46, 
-0.117683,2.46063,0,67.46, 
-0.113973,2.45909,0,67.46, 
-0.110261,2.45755,0,67.46, 
-0.106548,2.45601,0,67.46, 
-0.102836,2.45447,0,67.46, 
-0.0991239,2.45293,0,67.46, 
-0.0954116,2.45139,0,67.47, 
-0.0916993,2.44985,0,67.47, 
-0.0879869,2.44831,0,67.47, 
-0.0842744,2.44677,0,67.47, 
-0.0805619,2.44523,0,67.47, 
-0.0768494,2.44369,0,67.47, 
-0.0731369,2.44215,0,67.47, 
-0.0694245,2.44061,0,67.47, 
-0.0657122,2.43907,0,67.47, 
-0.0619998,2.43753,0,67.47, 
-0.0582873,2.43599,0,67.47, 
-0.0545747,2.43445,0,67.47, 
-0.0508619,2.43291,0,67.47, 
-0.0471491,2.43137,0,67.47, 
-0.0434367,2.42983,0,67.47, 
-0.0397246,2.42829,0,67.47, 
-0.0360131,2.42675,0,67.47, 
-0.0323007,2.42521,0,67.47, 
-0.0285883,2.42367,0,67.47, 
-0.0248758,2.42213,0,67.47, 
-0.0211634,2.42059,0,67.47, 
-0.017451,2.41905,0,67.47, 
-0.0137385,2.41751,0,67.47, 
-0.0100261,2.41597,0,67.47, 
-0.00631359,2.41443,0,67.47, 
-0.00260111,2.41289,0,67.47, 
0.0011115,2.41135,0,67.47, 
0.00482433,2.40981,0,67.47, 
0.00853724,2.40827,0,67.47, 
0.01225,2.40673,0,67.47, 
0.0159625,2.40519,0,67.47, 
0.0196744,2.40365,0,67.47, 
0.0233858,2.40211,0,67.47, 
0.0270985,2.40057,0,67.47, 
0.0308111,2.39903,0,67.47, 
0.0345237,2.39749,0,67.47, 
0.0382363,2.39595,0,67.47, 
0.0419488,2.39441,0,67.47, 
0.0456612,2.39287,0,67.47, 
0.0493737,2.39133,0,67.47, 
0.0530861,2.38979,0,67.47, 
0.0567985,2.38825,0,67.47, 
0.0605112,2.38671,0,67.47, 
0.064224,2.38517,0,67.47, 
0.0679368,2.38363,0,67.47, 
0.0716494,2.38209,0,67.47, 
0.0753616,2.38055,0,67.47, 
0.0790732,2.37901,0,67.47, 
0.0827843,2.37747,0,67.47, 
0.0864969,2.37593,0,67.47, 
0.0902095,2.37439,0,67.47, 
0.093922,2.37285,0,67.47, 
0.0976346,2.37131,0,67.47, 
0.101347,2.36977,0,67.47, 
0.10506,2.36823,0,67.47, 
0.108772,2.36669,0,67.47, 
0.112485,2.36515,0,67.47, 
0.116197,2.36361,0,67.47, 
0.11991,2.36207,0,67.47, 
0.123623,2.36053,0,67.47, 
0.127336,2.35899,0,67.47, 
0.131049,2.35745,0,67.47, 
0.134761,2.35591,0,67.47, 
0.138473,2.35437,0,67.47, 
0.142185,2.35283,0,67.47, 
0.145898,2.35129,0,67.47, 
0.14961,2.34975,0,67.47, 
0.153323,2.34821,0,67.47, 
0.157035,2.34667,0,67.47, 
0.160747,2.34513,0,67.47, 
0.16446,2.34359,0,67.47, 
0.168172,2.34205,0,67.47, 
0.171885,2.34051,0,67.47, 
0.175597,2.33897,0,67.47, 
0.17931,2.33742,0,67.47, 
0.183023,2.33588,0,67.47, 
0.186735,2.33434,0,67.47, 
0.190448,2.3328,0,67.47, 
0.194159,2.33126,0,67.47, 
0.197871,2.32972,0,67.47, 
0.201583,2.32818,0,67.47, 
0.205296,2.32664,0,67.47, 
0.209008,2.3251,0,67.47, 
0.212721,2.32356,0,67.47, 
0.216433,2.32202,0,67.47, 
0.220146,2.32048,0,67.47, 
0.223858,2.31894,0,67.47, 
0.227571,2.3174,0,67.47, 
0.231283,2.31586,0,67.47, 
0.234996,2.31432,0,67.47, 
0.238709,2.31278,0,67.47, 
0.242422,2.31124,0,67.47, 
0.246135,2.3097,0,67.47, 
0.249847,2.30816,0,67.47, 
0.253559,2.30662,0,67.47, 
0.25727,2.30509,0,67.47, 
0.260983,2.30355,0,67.47, 
0.264695,2.30201,0,67.47, 
0.268408,2.30047,0,67.47, 
0.272121,2.29893,0,67.47, 
0.275833,2.29738,0,67.47, 
0.279546,2.29584,0,67.47, 
0.283258,2.2943,0,67.47, 
0.28697,2.29276,0,67.47, 
0.290683,2.29122,0,67.47, 
0.294396,2.28968,0,67.47, 
0.298109,2.28814,0,67.47, 
0.301821,2.2866,0,67.47, 
0.305534,2.28506,0,67.47, 
0.309246,2.28352,0,67.47, 
0.312957,2.28198,0,67.47, 
0.31667,2.28044,0,67.47, 
0.320382,2.2789,0,67.47, 
0.324095,2.27736,0,67.47, 
0.327807,2.27582,0,67.47, 
0.331519,2.27428,0,67.47, 
0.335232,2.27274,0,67.47, 
0.338944,2.2712,0,67.47, 
0.342657,2.26966,0,67.47, 
0.346369,2.26812,0,67.47, 
0.350082,2.26658,0,67.47, 
0.353795,2.26504,0,67.47, 
0.357508,2.2635,0,67.47, 
0.36122,2.26196,0,67.47, 
0.364933,2.26042,0,67.47, 
0.368645,2.25888,0,67.47, 
0.372356,2.25734,0,67.47, 
0.376069,2.2558,0,67.47, 
0.379782,2.25426,0,67.47, 
0.383494,2.25272,0,67.47, 
0.387207,2.25118,0,67.47, 
0.390919,2.24964,0,67.47, 
0.394632,2.2481,0,67.47, 
0.398344,2.24656,0,67.47, 
0.402056,2.24502,0,67.47, 
0.405769,2.24348,0,67.47, 
0.409481,2.24194,0,67.47, 
0.413194,2.2404,0,67.47, 
0.416907,2.23886,0,67.47, 
0.42062,2.23732,0,67.47, 
0.424332,2.23578,0,67.47, 
0.428044,2.23424,0,67.47, 
0.431755,2.2327,0,67.47, 
0.435467,2.23116,0,67.47, 
0.43918,2.22962,0,67.47, 
0.442893,2.22808,0,67.47, 
0.446605,2.22654,0,67.47, 
0.450318,2.225,0,67.47, 
0.45403,2.22346,0,67.47, 
0.457743,2.22192,0,67.47, 
0.461455,2.22038,0,67.47, 
0.465168,2.21884,0,67.47, 
0.46888,2.2173,0,67.47, 
0.472593,2.21576,0,67.47, 
0.476306,2.21422,0,67.47, 
0.480019,2.21268,0,67.47, 
0.483731,2.21114,0,67.47, 
0.487443,2.2096,0,67.47, 
0.491154,2.20806,0,67.47, 
0.494867,2.20652,0,67.47, 
0.49858,2.20498,0,67.47, 
0.502292,2.20344,0,67.47, 
0.506005,2.2019,0,67.47, 
0.509717,2.20036,0,67.47, 
0.51343,2.19882,0,67.47, 
0.517142,2.19728,0,67.47, 
0.520855,2.19574,0,67.47, 
0.524567,2.1942,0,67.47, 
0.52828,2.19266,0,67.47, 
0.531993,2.19112,0,67.47, 
0.535706,2.18958,0,67.47, 
0.539418,2.18804,0,67.47, 
0.54313,2.1865,0,67.47, 
0.546842,2.18496,0,67.47, 
0.550554,2.18342,0,67.47, 
0.554266,2.18188,0,67.47, 
0.557979,2.18034,0,67.47, 
0.561691,2.1788,0,67.47, 
0.565404,2.17726,0,67.47, 
0.569116,2.17572,0,67.47, 
0.572829,2.17418,0,67.47, 
0.576541,2.17264,0,67.47, 
0.580254,2.1711,0,67.47, 
0.583966,2.16956,0,67.47, 
0.587679,2.16802,0,67.47, 
0.591392,2.16648,0,67.47, 
