[e12] 
x-value,z-value,robots,orientation
-0.0804369,1.26685,0,151.2, 
-0.0785734,1.27036,0,151.33, 
-0.0767111,1.2739,0,151.42, 
-0.0748575,1.27745,0,151.49, 
-0.0730087,1.28101,0,151.53, 
-0.071158,1.28456,0,151.56, 
-0.069306,1.2881,0,151.59, 
-0.0674504,1.29165,0,151.6, 
-0.0655563,1.29519,0,151.6, 
-0.0636258,1.29873,0,151.6, 
-0.0616949,1.30227,0,151.59, 
-0.0597642,1.30581,0,151.59, 
-0.0578342,1.30935,0,151.58, 
-0.0559051,1.31289,0,151.58, 
-0.0539773,1.31642,0,151.57, 
-0.052051,1.31996,0,151.56, 
-0.0501265,1.32349,0,151.56, 
-0.0482036,1.32702,0,151.56, 
-0.0462823,1.33056,0,151.56, 
-0.0443626,1.33409,0,151.56, 
-0.0424441,1.33762,0,151.56, 
-0.0405267,1.34116,0,151.56, 
-0.0386103,1.34469,0,151.56, 
-0.0366946,1.34822,0,151.56, 
-0.0347796,1.35176,0,151.56, 
-0.0328652,1.35529,0,151.56, 
-0.030951,1.35883,0,151.56, 
-0.0290369,1.36236,0,151.56, 
-0.0271229,1.36589,0,151.56, 
-0.025209,1.36943,0,151.56, 
-0.0232951,1.37296,0,151.56, 
-0.0213812,1.3765,0,151.56, 
-0.0194674,1.38003,0,151.56, 
-0.0175535,1.38357,0,151.56, 
-0.0156396,1.3871,0,151.56, 
-0.0137258,1.39063,0,151.56, 
-0.011812,1.39417,0,151.56, 
-0.00989817,1.3977,0,151.57, 
-0.00798438,1.40124,0,151.57, 
-0.00607061,1.40477,0,151.57, 
-0.00415686,1.40831,0,151.57, 
-0.00224311,1.41184,0,151.57, 
-0.000329366,1.41537,0,151.57, 
0.00158437,1.41891,0,151.57, 
0.00349809,1.42244,0,151.57, 
0.0054118,1.42598,0,151.57, 
0.00732554,1.42951,0,151.57, 
0.00923929,1.43305,0,151.57, 
0.0111531,1.43658,0,151.57, 
0.0130669,1.44012,0,151.57, 
0.0149807,1.44365,0,151.57, 
0.0168945,1.44718,0,151.57, 
0.0188083,1.45072,0,151.56, 
0.0207222,1.45425,0,151.56, 
0.022636,1.45779,0,151.56, 
0.0245499,1.46132,0,151.56, 
0.0264637,1.46486,0,151.56, 
0.0283775,1.46839,0,151.56, 
0.0302913,1.47192,0,151.56, 
0.0322052,1.47546,0,151.56, 
0.034119,1.47899,0,151.56, 
0.0360328,1.48253,0,151.56, 
0.0379466,1.48606,0,151.56, 
0.0398605,1.4896,0,151.56, 
0.0417744,1.49313,0,151.56, 
0.0436883,1.49667,0,151.56, 
0.0456022,1.5002,0,151.56, 
0.0475161,1.50373,0,151.56, 
0.04943,1.50727,0,151.56, 
0.0513438,1.5108,0,151.56, 
0.0532576,1.51434,0,151.56, 
0.0551715,1.51787,0,151.56, 
0.0570853,1.52141,0,151.56, 
0.0589992,1.52494,0,151.56, 
0.060913,1.52847,0,151.56, 
0.0628269,1.53201,0,151.56, 
0.0647407,1.53554,0,151.57, 
0.0666545,1.53908,0,151.57, 
0.0685684,1.54261,0,151.56, 
0.0704822,1.54615,0,151.56, 
0.0723961,1.54968,0,151.56, 
0.07431,1.55322,0,151.56, 
