[e6] 
x-value,z-value,robots,orientation
1.92462,1.88957,0,250.02, 
1.92087,1.89089,0,249.76, 
1.9171,1.89234,0,249.57, 
1.91335,1.89381,0,249.43, 
1.90959,1.89529,0,249.32, 
1.90585,1.89678,0,249.22, 
1.9021,1.89827,0,249.14, 
1.89835,1.89976,0,249.06, 
1.89458,1.9012,0,249, 
1.89084,1.90263,0,248.95, 
1.8871,1.90405,0,248.91, 
1.88336,1.90548,0,248.88, 
1.87962,1.90691,0,248.85, 
1.87587,1.90835,0,248.82, 
1.87213,1.90979,0,248.8, 
1.86838,1.91123,0,248.79, 
1.86463,1.91268,0,248.77, 
1.86089,1.91412,0,248.76, 
1.85714,1.91557,0,248.76, 
1.85339,1.91702,0,248.75, 
1.84965,1.91848,0,248.75, 
1.8459,1.91993,0,248.74, 
1.84215,1.92139,0,248.74, 
1.83841,1.92284,0,248.74, 
1.83466,1.9243,0,248.74, 
1.83091,1.92576,0,248.73, 
1.82717,1.92721,0,248.73, 
1.82342,1.92867,0,248.73, 
1.81968,1.93013,0,248.73, 
1.81593,1.93159,0,248.73, 
1.81219,1.93304,0,248.73, 
1.80844,1.9345,0,248.73, 
1.8047,1.93596,0,248.73, 
1.80095,1.93742,0,248.73, 
1.79721,1.93887,0,248.73, 
1.79346,1.94033,0,248.73, 
1.78972,1.94179,0,248.73, 
1.78597,1.94325,0,248.73, 
1.78222,1.94471,0,248.73, 
1.77848,1.94616,0,248.73, 
1.77473,1.94762,0,248.74, 
1.77099,1.94908,0,248.74, 
1.76724,1.95054,0,248.74, 
1.7635,1.95199,0,248.74, 
1.75975,1.95345,0,248.74, 
1.75601,1.95491,0,248.73, 
1.75226,1.95637,0,248.73, 
1.74851,1.95783,0,248.73, 
1.74477,1.95928,0,248.73, 
1.74102,1.96074,0,248.73, 
1.73728,1.9622,0,248.73, 
1.73353,1.96366,0,248.73, 
1.72979,1.96511,0,248.73, 
1.72604,1.96657,0,248.73, 
1.7223,1.96803,0,248.73, 
1.71855,1.96949,0,248.73, 
1.7148,1.97095,0,248.73, 
1.71106,1.9724,0,248.73, 
1.70731,1.97386,0,248.73, 
1.70357,1.97532,0,248.73, 
1.69982,1.97678,0,248.73, 
1.69608,1.97823,0,248.73, 
1.69233,1.97969,0,248.73, 
1.68859,1.98115,0,248.73, 
1.68484,1.98261,0,248.74, 
1.68109,1.98406,0,248.74, 
1.67735,1.98552,0,248.74, 
1.6736,1.98698,0,248.74, 
1.66986,1.98844,0,248.74, 
1.66611,1.9899,0,248.74, 
1.66237,1.99135,0,248.74, 
1.65862,1.99281,0,248.74, 
1.65488,1.99427,0,248.74, 
1.65113,1.99573,0,248.74, 
1.64738,1.99718,0,248.74, 
1.64364,1.99864,0,248.74, 
