[e5] 
x-value,z-value,robots,orientation
1.42311,-2.26235,0,24.48, 
1.42476,-2.26598,0,24.43, 
1.42642,-2.26964,0,24.39, 
1.42807,-2.2733,0,24.35, 
1.42971,-2.27697,0,24.34, 
1.43134,-2.28064,0,24.33, 
1.43297,-2.28431,0,24.33, 
1.4346,-2.28797,0,24.33, 
1.43623,-2.29164,0,24.34, 
1.43787,-2.2953,0,24.35, 
1.4395,-2.29896,0,24.36, 
1.44114,-2.30262,0,24.37, 
1.44278,-2.30629,0,24.38, 
1.44442,-2.30995,0,24.38, 
1.44607,-2.31361,0,24.39, 
1.44772,-2.31727,0,24.4, 
1.44937,-2.32093,0,24.4, 
1.45103,-2.32459,0,24.41, 
1.45269,-2.32825,0,24.41, 
1.45435,-2.33191,0,24.41, 
1.456,-2.33557,0,24.41, 
1.45767,-2.33923,0,24.41, 
1.45933,-2.34289,0,24.41, 
1.46099,-2.34655,0,24.41, 
1.46265,-2.35021,0,24.41, 
1.46431,-2.35387,0,24.41, 
1.46597,-2.35753,0,24.41, 
1.46763,-2.36119,0,24.41, 
1.4693,-2.36485,0,24.41, 
1.47096,-2.3685,0,24.41, 
1.47262,-2.37217,0,24.41, 
1.47428,-2.37583,0,24.41, 
1.47594,-2.37949,0,24.41, 
1.4776,-2.38315,0,24.41, 
1.47926,-2.38681,0,24.41, 
1.48092,-2.39047,0,24.41, 
1.48258,-2.39413,0,24.41, 
1.48424,-2.39779,0,24.41, 
1.48591,-2.40145,0,24.41, 
1.48757,-2.4051,0,24.41, 
1.48923,-2.40876,0,24.41, 
1.49089,-2.41242,0,24.41, 
1.49255,-2.41608,0,24.41, 
1.49421,-2.41974,0,24.41, 
1.49587,-2.4234,0,24.41, 
1.49753,-2.42707,0,24.41, 
1.49919,-2.43073,0,24.41, 
1.50063,-2.43382,0,28.47, 
1.50129,-2.43494,0,32.5, 
1.50203,-2.43604,0,36.94, 
1.50366,-2.43815,0,41.38, 
1.50499,-2.43961,0,45.83, 
1.50644,-2.44097,0,50.28, 
1.50805,-2.44228,0,54.36, 
1.50988,-2.44356,0,58.83, 
1.5118,-2.44469,0,63.32, 
1.5138,-2.44567,0,67.84, 
1.51586,-2.44649,0,72.39, 
1.51797,-2.44713,0,76.99, 
1.52001,-2.44759,0,81.69, 
1.52202,-2.44787,0,86.57, 
1.52382,-2.44794,0,90.98, 
1.52575,-2.4479,0,95.4, 
1.528,-2.44769,0,99.82, 
1.53024,-2.44731,0,104.24, 
1.53244,-2.44675,0,108.67, 
1.53458,-2.44603,0,113.11, 
1.53666,-2.44514,0,117.55, 
