[e10] 
x-value,z-value,robots,orientation
1.97322,-2.08514,0,335.56, 
1.97157,-2.08877,0,335.6, 
1.96991,-2.09243,0,335.64, 
1.96827,-2.0961,0,335.68, 
1.96663,-2.09976,0,335.69, 
1.965,-2.10343,0,335.7, 
1.96337,-2.1071,0,335.7, 
1.96171,-2.11076,0,335.7, 
1.96004,-2.11443,0,335.69, 
1.95837,-2.1181,0,335.69, 
1.9567,-2.12176,0,335.68, 
1.95503,-2.12542,0,335.67, 
1.95336,-2.12909,0,335.66, 
1.95169,-2.13275,0,335.65, 
1.95002,-2.13641,0,335.64, 
1.94835,-2.14007,0,335.63, 
1.94669,-2.14373,0,335.63, 
1.94504,-2.1474,0,335.62, 
1.94338,-2.15106,0,335.62, 
1.94173,-2.15471,0,335.62, 
1.94007,-2.15837,0,335.62, 
1.93841,-2.16204,0,335.62, 
1.93675,-2.1657,0,335.62, 
1.93509,-2.16936,0,335.62, 
1.93343,-2.17302,0,335.62, 
1.93177,-2.17668,0,335.62, 
1.93012,-2.18034,0,335.62, 
1.92846,-2.184,0,335.62, 
1.9268,-2.18766,0,335.62, 
1.92514,-2.19132,0,335.62, 
1.92348,-2.19498,0,335.62, 
1.92182,-2.19864,0,335.62, 
1.92016,-2.2023,0,335.62, 
1.9185,-2.20597,0,335.62, 
1.91684,-2.20963,0,335.62, 
1.91518,-2.21329,0,335.62, 
1.91353,-2.21695,0,335.62, 
1.91187,-2.22061,0,335.62, 
1.91021,-2.22427,0,335.62, 
1.90855,-2.22793,0,335.62, 
1.90689,-2.23159,0,335.62, 
1.90523,-2.23525,0,335.62, 
1.90357,-2.23891,0,335.62, 
1.90191,-2.24258,0,335.62, 
1.90026,-2.24624,0,335.62, 
1.8986,-2.2499,0,335.62, 
1.89694,-2.25356,0,335.62, 
1.89528,-2.25722,0,335.62, 
1.89362,-2.26088,0,335.62, 
1.89196,-2.26454,0,335.62, 
1.8903,-2.2682,0,335.62, 
1.88864,-2.27186,0,335.62, 
1.88698,-2.27552,0,335.62, 
1.88533,-2.27919,0,335.62, 
1.88367,-2.28285,0,335.62, 
1.88201,-2.28651,0,335.62, 
1.88035,-2.29017,0,335.62, 
1.87869,-2.29383,0,335.62, 
1.87703,-2.29749,0,335.62, 
1.87537,-2.30115,0,335.62, 
1.87371,-2.30481,0,335.62, 
1.87206,-2.30847,0,335.62, 
1.8704,-2.31213,0,335.62, 
1.86874,-2.3158,0,335.62, 
1.86708,-2.31946,0,335.62, 
1.86542,-2.32312,0,335.62, 
1.86376,-2.32678,0,335.62, 
1.8621,-2.33044,0,335.62, 
1.86044,-2.3341,0,335.62, 
1.85878,-2.33776,0,335.62, 
1.85713,-2.34142,0,335.62, 
1.85547,-2.34508,0,335.62, 
1.85381,-2.34874,0,335.62, 
1.85215,-2.3524,0,335.62, 
1.85049,-2.35607,0,335.62, 
1.84883,-2.35973,0,335.62, 
1.84717,-2.36339,0,335.62, 
1.84551,-2.36705,0,335.62, 
1.84385,-2.37071,0,335.62, 
1.84219,-2.37437,0,335.62, 
1.84054,-2.37803,0,335.62, 
1.83888,-2.38169,0,335.62, 
1.83722,-2.38535,0,335.62, 
1.83556,-2.38901,0,335.62, 
1.8339,-2.39268,0,335.62, 
1.83224,-2.39634,0,335.62, 
1.83058,-2.4,0,335.62, 
1.82892,-2.40366,0,335.62, 
1.82726,-2.40732,0,335.62, 
1.82561,-2.41098,0,335.62, 
1.82395,-2.41464,0,335.62, 
1.82229,-2.4183,0,335.62, 
1.82063,-2.42196,0,335.62, 
1.81897,-2.42562,0,335.62, 
