[e7] 
x-value,z-value,robots,orientation
1.26035,-0.311148,0,118.61, 
1.26386,-0.309289,0,118.47, 
1.26741,-0.307434,0,118.37, 
1.27097,-0.30559,0,118.3, 
1.27453,-0.303753,0,118.26, 
1.2781,-0.301918,0,118.23, 
1.28165,-0.300078,0,118.21, 
1.28521,-0.298227,0,118.19, 
1.28876,-0.296315,0,118.19, 
1.29231,-0.2944,0,118.19, 
1.29586,-0.292484,0,118.19, 
1.2994,-0.290568,0,118.19, 
1.30295,-0.288653,0,118.2, 
1.30649,-0.286738,0,118.2, 
1.31004,-0.284825,0,118.21, 
1.31358,-0.282912,0,118.21, 
1.31712,-0.281001,0,118.21, 
1.32067,-0.279092,0,118.22, 
1.32421,-0.277183,0,118.22, 
1.32775,-0.275276,0,118.22, 
1.33129,-0.273372,0,118.22, 
1.33483,-0.271472,0,118.22, 
1.33837,-0.269572,0,118.22, 
1.34191,-0.267672,0,118.22, 
1.34545,-0.265773,0,118.21, 
1.34899,-0.263874,0,118.21, 
1.35253,-0.261975,0,118.21, 
1.35607,-0.260075,0,118.21, 
1.35961,-0.258175,0,118.21, 
1.36315,-0.256275,0,118.21, 
1.3667,-0.254375,0,118.21, 
1.37024,-0.252475,0,118.21, 
1.37378,-0.250576,0,118.21, 
1.37732,-0.248676,0,118.21, 
1.38087,-0.246776,0,118.21, 
1.38441,-0.244876,0,118.21, 
1.38795,-0.242976,0,118.21, 
1.39149,-0.241077,0,118.21, 
1.39503,-0.239177,0,118.21, 
1.39857,-0.237278,0,118.21, 
1.40212,-0.235378,0,118.21, 
1.40566,-0.233478,0,118.21, 
1.4092,-0.231578,0,118.21, 
1.41274,-0.229679,0,118.2, 
1.41628,-0.227779,0,118.2, 
1.41983,-0.225879,0,118.2, 
1.42337,-0.22398,0,118.2, 
1.42691,-0.22208,0,118.2, 
1.43045,-0.220181,0,118.2, 
1.43399,-0.218281,0,118.2, 
1.43754,-0.216382,0,118.2, 
