[e1] 
x-value,z-value,robots,orientation
-1.85664,-1.61808,0,299.88, 
-1.86011,-1.62001,0,299.74, 
-1.86362,-1.62193,0,299.64, 
-1.86713,-1.62385,0,299.57, 
-1.87065,-1.62576,0,299.53, 
-1.87417,-1.62768,0,299.49, 
-1.87768,-1.62959,0,299.46, 
-1.88119,-1.63151,0,299.45, 
-1.8847,-1.63347,0,299.45, 
-1.8882,-1.63546,0,299.45, 
-1.89171,-1.63745,0,299.45, 
-1.89521,-1.63945,0,299.45, 
-1.89872,-1.64144,0,299.46, 
-1.90222,-1.64344,0,299.47, 
-1.90572,-1.64543,0,299.47, 
-1.90922,-1.64742,0,299.48, 
-1.91272,-1.64941,0,299.48, 
-1.91622,-1.6514,0,299.48, 
-1.91973,-1.65338,0,299.48, 
-1.92322,-1.65537,0,299.48, 
-1.92672,-1.65735,0,299.49, 
-1.93022,-1.65933,0,299.48, 
-1.93371,-1.66131,0,299.48, 
-1.93721,-1.66329,0,299.48, 
-1.94071,-1.66526,0,299.48, 
-1.9442,-1.66724,0,299.48, 
-1.9477,-1.66922,0,299.48, 
-1.95119,-1.67119,0,299.48, 
-1.95469,-1.67317,0,299.48, 
-1.95819,-1.67515,0,299.48, 
-1.96169,-1.67713,0,299.48, 
-1.96519,-1.67911,0,299.48, 
-1.96869,-1.68108,0,299.48, 
-1.97219,-1.68306,0,299.48, 
-1.97569,-1.68504,0,299.48, 
-1.97919,-1.68702,0,299.48, 
-1.98269,-1.689,0,299.48, 
-1.98619,-1.69097,0,299.47, 
-1.98968,-1.69295,0,299.47, 
-1.99318,-1.69493,0,299.47, 
-1.99668,-1.6969,0,299.47, 
-2.00018,-1.69888,0,299.47, 
-2.00368,-1.70086,0,299.47, 
-2.00718,-1.70284,0,299.47, 
-2.01068,-1.70481,0,299.47, 
-2.01418,-1.70679,0,299.47, 
-2.01768,-1.70877,0,299.47, 
-2.02117,-1.71075,0,299.47, 
-2.02467,-1.71272,0,299.47, 
-2.02817,-1.7147,0,299.47, 
-2.03167,-1.71668,0,299.47, 
-2.03517,-1.71866,0,299.47, 
-2.03867,-1.72063,0,299.47, 
-2.04217,-1.72261,0,299.47, 
-2.04567,-1.72459,0,299.47, 
-2.04917,-1.72657,0,299.47, 
-2.05267,-1.72854,0,299.47, 
-2.05617,-1.73052,0,299.47, 
-2.05967,-1.7325,0,299.47, 
-2.06317,-1.73448,0,299.47, 
-2.06666,-1.73645,0,299.47, 
-2.07016,-1.73843,0,299.47, 
-2.07366,-1.74041,0,299.47, 
-2.07716,-1.74239,0,299.47, 
-2.08066,-1.74436,0,299.47, 
-2.08416,-1.74634,0,299.47, 
-2.08766,-1.74832,0,299.47, 
-2.09116,-1.7503,0,299.47, 
-2.09466,-1.75227,0,299.47, 
-2.09816,-1.75425,0,299.47, 
-2.10166,-1.75623,0,299.47, 
-2.10516,-1.75821,0,299.47, 
-2.10865,-1.76018,0,299.47, 
-2.11215,-1.76216,0,299.47, 
-2.11565,-1.76414,0,299.47, 
-2.11915,-1.76612,0,299.47, 
-2.12265,-1.76809,0,299.47, 
-2.12615,-1.77007,0,299.47, 
-2.12965,-1.77205,0,299.47, 
-2.13315,-1.77403,0,299.47, 
-2.13665,-1.776,0,299.47, 
-2.14015,-1.77798,0,299.47, 
-2.14365,-1.77996,0,299.47, 
-2.14715,-1.78193,0,299.47, 
-2.15064,-1.78391,0,299.47, 
-2.15414,-1.78589,0,299.47, 
-2.15764,-1.78787,0,299.47, 
-2.16114,-1.78984,0,299.47, 
-2.16464,-1.79182,0,299.47, 
-2.16814,-1.7938,0,299.47, 
-2.17164,-1.79578,0,299.47, 
-2.17514,-1.79775,0,299.47, 
-2.17864,-1.79973,0,299.47, 
-2.18214,-1.80171,0,299.47, 
-2.18564,-1.80369,0,299.47, 
-2.18914,-1.80566,0,299.47, 
-2.19264,-1.80764,0,299.47, 
-2.19613,-1.80962,0,299.47, 
-2.19963,-1.8116,0,299.47, 
-2.20313,-1.81357,0,299.47, 
-2.20663,-1.81555,0,299.47, 
-2.21013,-1.81753,0,299.47, 
-2.21363,-1.81951,0,299.47, 
-2.21713,-1.82148,0,299.47, 
-2.22063,-1.82346,0,299.47, 
-2.22413,-1.82544,0,299.47, 
-2.22763,-1.82741,0,299.47, 
-2.23113,-1.82939,0,299.47, 
-2.23463,-1.83137,0,299.47, 
-2.23813,-1.83335,0,299.47, 
-2.24162,-1.83532,1,299.47, 
-2.24512,-1.8373,1,299.47, 
-2.24862,-1.83928,1,299.47, 
-2.25212,-1.84126,1,299.47, 
-2.25562,-1.84323,1,299.47, 
-2.25912,-1.84521,1,299.47, 
