[e8] 
x-value,z-value,robots,orientation
-0.454867,0.300085,0,108.94, 
-0.451082,0.301338,0,109.17, 
-0.447287,0.302717,0,109.35, 
-0.443505,0.304112,0,109.47, 
-0.439726,0.305519,0,109.58, 
-0.435947,0.306932,0,109.67, 
-0.43217,0.308348,0,109.74, 
-0.428384,0.309724,0,109.81, 
-0.424596,0.311081,0,109.86, 
-0.420825,0.312434,0,109.91, 
-0.417058,0.313788,0,109.94, 
-0.413294,0.315142,0,109.98, 
-0.409531,0.316497,0,110, 
-0.405754,0.31786,0,110.02, 
-0.401977,0.319225,0,110.04, 
-0.3982,0.320593,0,110.05, 
-0.394423,0.321962,0,110.06, 
-0.390646,0.323334,0,110.07, 
-0.386869,0.324709,0,110.08, 
-0.383093,0.326091,0,110.08, 
-0.379317,0.327472,0,110.09, 
-0.375541,0.328854,0,110.09, 
-0.371766,0.330234,0,110.09, 
-0.367991,0.331615,0,110.09, 
-0.364216,0.332996,0,110.09, 
-0.360441,0.334377,0,110.1, 
-0.356666,0.335757,0,110.1, 
-0.352891,0.337138,0,110.1, 
-0.349117,0.338519,0,110.1, 
-0.345342,0.3399,0,110.1, 
-0.341567,0.341281,0,110.1, 
-0.337793,0.342662,0,110.1, 
-0.334018,0.344043,0,110.1, 
-0.330243,0.345424,0,110.1, 
-0.326469,0.346805,0,110.1, 
-0.322694,0.348186,0,110.1, 
-0.31892,0.349567,0,110.09, 
-0.315146,0.350948,0,110.09, 
-0.311371,0.352328,0,110.09, 
-0.307597,0.353709,0,110.09, 
-0.303822,0.35509,0,110.09, 
-0.300047,0.356471,0,110.09, 
-0.296273,0.357852,0,110.09, 
-0.292498,0.359233,0,110.09, 
-0.288723,0.360613,0,110.09, 
-0.284948,0.361994,0,110.09, 
-0.281174,0.363375,0,110.09, 
-0.277399,0.364756,0,110.09, 
-0.273624,0.366136,0,110.09, 
-0.269849,0.367517,0,110.09, 
-0.266075,0.368898,0,110.09, 
-0.2623,0.370279,0,110.09, 
-0.258525,0.37166,0,110.09, 
-0.254751,0.37304,0,110.09, 
-0.250976,0.374421,0,110.09, 
-0.247202,0.375802,0,110.09, 
-0.243427,0.377183,0,110.09, 
-0.239653,0.378563,0,110.09, 
-0.235878,0.379944,0,110.09, 
-0.232103,0.381325,0,110.09, 
-0.228329,0.382706,0,110.09, 
-0.224554,0.384087,0,110.09, 
-0.220779,0.385467,0,110.09, 
-0.217004,0.386848,0,110.09, 
-0.21323,0.388229,0,110.09, 
-0.209455,0.38961,0,110.09, 
-0.20568,0.39099,0,110.09, 
-0.201906,0.392371,0,110.09, 
-0.198131,0.393752,0,110.09, 
-0.194357,0.395133,0,110.09, 
-0.190582,0.396513,0,110.09, 
-0.186807,0.397894,0,110.09, 
-0.183033,0.399275,0,110.09, 
-0.179258,0.400655,0,110.09, 
-0.175483,0.402036,0,110.09, 
-0.171708,0.403417,0,110.09, 
-0.167934,0.404797,0,110.09, 
-0.164159,0.406178,0,110.09, 
-0.160384,0.407559,0,110.09, 
-0.156609,0.408939,0,110.09, 
-0.152835,0.41032,0,110.09, 
-0.14906,0.4117,0,110.09, 
-0.145285,0.413081,0,110.09, 
-0.141511,0.414462,0,110.09, 
-0.137736,0.415842,0,110.09, 
-0.133961,0.417223,0,110.09, 
-0.130187,0.418604,0,110.09, 
-0.126412,0.419984,0,110.09, 
-0.122637,0.421365,0,110.09, 
-0.118863,0.422746,0,110.09, 
-0.115088,0.424126,0,110.09, 
-0.111314,0.425507,0,110.09, 
-0.107539,0.426888,0,110.09, 
-0.103764,0.428269,0,110.09, 
-0.0999893,0.429649,0,110.09, 
-0.0962145,0.43103,0,110.09, 
-0.0924397,0.43241,0,110.09, 
-0.088665,0.433791,0,110.09, 
-0.0848903,0.435172,0,110.09, 
-0.0811158,0.436552,0,110.09, 
-0.0773412,0.437933,0,110.09, 
-0.0735667,0.439314,0,110.09, 
-0.069792,0.440694,0,110.09, 
-0.0660173,0.442075,0,110.09, 
-0.0622425,0.443456,0,110.09, 
-0.0584677,0.444836,0,110.09, 
-0.0546929,0.446217,0,110.09, 
-0.0509182,0.447597,0,110.09, 
-0.0471434,0.448978,0,110.09, 
-0.0433686,0.450358,0,110.09, 
-0.0395938,0.451739,0,110.09, 
-0.0358191,0.453119,0,110.09, 
-0.0320443,0.4545,0,110.09, 
-0.0282696,0.45588,0,110.09, 
-0.0244948,0.457261,0,110.09, 
-0.02072,0.458641,0,110.09, 
-0.0169453,0.460022,0,110.09, 
-0.0131706,0.461403,0,110.09, 
-0.00939602,0.462783,0,110.09, 
-0.00562148,0.464164,0,110.09, 
-0.00184695,0.465544,0,110.09, 
0.00192762,0.466925,0,110.09, 
0.00570232,0.468306,0,110.09, 
0.00947711,0.469686,0,110.09, 
0.0132519,0.471067,0,110.09, 
0.0170268,0.472447,0,110.09, 
0.0208016,0.473828,0,110.09, 
0.0245764,0.475209,0,110.09, 
