[e1] 
x-value,z-value,robots,orientation
-1.32569,-0.134835,0,299.88, 
-1.32916,-0.136763,0,299.74, 
-1.33266,-0.138689,0,299.64, 
-1.33618,-0.140606,0,299.57, 
-1.3397,-0.142518,0,299.53, 
-1.34321,-0.144433,0,299.49, 
-1.34672,-0.146348,0,299.46, 
-1.35023,-0.148267,0,299.45, 
-1.35374,-0.150224,0,299.45, 
-1.35725,-0.152217,0,299.45, 
-1.36075,-0.154211,0,299.45, 
-1.36426,-0.156205,0,299.45, 
-1.36776,-0.158198,0,299.46, 
-1.37126,-0.160191,0,299.47, 
-1.37477,-0.162184,0,299.47, 
-1.37827,-0.164175,0,299.48, 
-1.38177,-0.166165,0,299.48, 
-1.38527,-0.168153,0,299.48, 
-1.38877,-0.17014,0,299.48, 
-1.39227,-0.172124,0,299.48, 
-1.39577,-0.174106,0,299.49, 
-1.39926,-0.176086,0,299.48, 
-1.40276,-0.178065,0,299.48, 
-1.40626,-0.180043,0,299.48, 
-1.40975,-0.182021,0,299.48, 
-1.41325,-0.183997,0,299.48, 
-1.41674,-0.185974,0,299.48, 
-1.42024,-0.18795,0,299.48, 
-1.42374,-0.189928,0,299.48, 
-1.42724,-0.191906,0,299.48, 
-1.43074,-0.193884,0,299.48, 
-1.4337,-0.195591,0,303.49, 
-1.43475,-0.196351,0,307.56, 
-1.43577,-0.197176,0,311.92, 
-1.43752,-0.198971,0,316.36, 
-1.43886,-0.200436,0,320.81, 
-1.43999,-0.201869,0,325.24, 
-1.44108,-0.203483,0,329.7, 
-1.44219,-0.205433,0,334.19, 
-1.44315,-0.207468,0,338.7, 
-1.44394,-0.209568,0,343.24, 
-1.44457,-0.211712,0,347.84, 
-1.445,-0.213779,0,352.54, 
-1.44522,-0.215581,0,356.95, 
-1.44529,-0.217608,0,1.83, 
-1.44521,-0.219824,0,6.24, 
-1.44496,-0.222025,0,10.66, 
-1.44455,-0.224198,0,15.09, 
-1.44397,-0.226331,0,19.51, 
-1.44323,-0.22841,0,23.95, 
-1.44233,-0.230423,0,28.39, 
