[e9] 
x-value,z-value,robots,orientation
-0.398771,-1.34023,0,207.7, 
-0.399407,-1.33892,0,207.55, 
-0.401793,-1.33423,0,207.33, 
-0.404166,-1.32948,0,207.19, 
-0.405635,-1.32644,0,207.11, 
-0.407528,-1.32257,0,207.06, 
-0.409419,-1.3187,0,207.03, 
-0.411171,-1.31512,0,207, 
-0.412985,-1.31157,0,206.98, 
-0.414798,-1.30803,0,206.97, 
-0.416611,-1.30449,0,206.97, 
-0.418452,-1.3009,0,206.96, 
-0.420293,-1.29731,0,206.97, 
-0.422134,-1.29373,0,206.97, 
-0.423975,-1.29013,0,206.97, 
-0.425816,-1.28654,0,206.97, 
-0.427655,-1.28295,0,206.97, 
-0.429494,-1.27936,0,206.97, 
-0.43133,-1.27577,0,206.97, 
-0.433165,-1.27218,0,206.97, 
-0.434997,-1.26859,0,206.97, 
-0.436826,-1.265,0,206.97, 
-0.438649,-1.26142,0,206.97, 
-0.44047,-1.25784,0,206.97, 
-0.442291,-1.25426,0,206.97, 
-0.444109,-1.25069,0,206.97, 
-0.445927,-1.24712,0,206.96, 
-0.447743,-1.24355,0,206.96, 
-0.449559,-1.23998,0,206.96, 
-0.451375,-1.23641,0,206.96, 
-0.453192,-1.23283,0,206.96, 
-0.455009,-1.22926,0,206.96, 
-0.456579,-1.22623,0,211.02, 
-0.458292,-1.22343,0,211, 
-0.459979,-1.22065,0,210.99, 
-0.461368,-1.21838,0,215.04, 
-0.46239,-1.21699,0,219.15, 
-0.463532,-1.21563,0,223.59, 
-0.465233,-1.21388,0,228.03, 
-0.467076,-1.21228,0,232.49, 
-0.46883,-1.21098,0,236.96, 
-0.470444,-1.20997,0,241.17, 
-0.472191,-1.20905,0,245.67, 
-0.474196,-1.20817,0,250.19, 
-0.476257,-1.20745,0,254.75, 
-0.478356,-1.20689,0,259.38, 
-0.480469,-1.20651,0,264.13, 
-0.48253,-1.20633,0,268.55, 
-0.484699,-1.20631,0,272.96, 
-0.486842,-1.20644,0,277.38, 
-0.48895,-1.20672,0,281.8, 
-0.491018,-1.20716,0,286.23, 
-0.493139,-1.20778,0,290.66, 
-0.495203,-1.20855,0,295.1, 
-0.497199,-1.20949,0,299.54, 
-0.499113,-1.21057,0,303.99, 
-0.500935,-1.2118,0,308.45, 
-0.502652,-1.21317,0,312.92, 
-0.505563,-1.21588,0,312.93, 
-0.508491,-1.2186,0,312.95, 
-0.511425,-1.22131,0,312.98, 
-0.514364,-1.22401,0,313.01, 
-0.517304,-1.22672,0,313.04, 
-0.520245,-1.22943,0,313.07, 
-0.523185,-1.23214,0,313.1, 
-0.526125,-1.23486,0,313.13, 
-0.529064,-1.23758,0,313.16, 
-0.532002,-1.24031,0,313.18, 
-0.534938,-1.24304,0,313.2, 
-0.537874,-1.24578,0,313.21, 
-0.540808,-1.24852,0,313.22, 
-0.543742,-1.25127,0,313.23, 
-0.546675,-1.25402,0,313.24, 
-0.549607,-1.25677,0,313.24, 
-0.552539,-1.25953,0,313.25, 
-0.55547,-1.26228,0,313.25, 
-0.558401,-1.26504,0,313.25, 
-0.561331,-1.26779,0,313.25, 
-0.56426,-1.27055,0,313.25, 
-0.567189,-1.2733,0,313.25, 
-0.570117,-1.27606,0,313.25, 
-0.573043,-1.27881,0,313.25, 
-0.575969,-1.28156,0,313.25, 
-0.578893,-1.28431,0,313.24, 
-0.581816,-1.28706,0,313.24, 
-0.584739,-1.28981,0,313.24, 
-0.587661,-1.29256,0,313.24, 
-0.590583,-1.29531,0,313.24, 
-0.593506,-1.29806,0,313.24, 
-0.59643,-1.30081,0,313.24, 
-0.599355,-1.30356,0,313.24, 
-0.602281,-1.30631,0,313.24, 
-0.605209,-1.30907,0,313.24, 
-0.608138,-1.31182,0,313.24, 
-0.611069,-1.31458,0,313.24, 
-0.614001,-1.31733,0,313.24, 
-0.616933,-1.32009,0,313.24, 
-0.619865,-1.32285,0,313.24, 
-0.622798,-1.32561,0,313.24, 
-0.62573,-1.32836,0,313.24, 
-0.628662,-1.33112,0,313.24, 
-0.631592,-1.33388,0,313.24, 
-0.634522,-1.33663,0,313.24, 
-0.637451,-1.33939,0,313.24, 
-0.640379,-1.34214,0,313.24, 
-0.643307,-1.3449,0,313.24, 
-0.646233,-1.34765,0,313.24, 
-0.649159,-1.3504,0,313.24, 
-0.652085,-1.35315,0,313.24, 
-0.65501,-1.3559,0,313.24, 
-0.657935,-1.35865,0,313.24, 
-0.660859,-1.3614,0,313.24, 
-0.663784,-1.36415,0,313.24, 
-0.666708,-1.3669,0,313.24, 
-0.669632,-1.36966,0,313.24, 
-0.672557,-1.37241,0,313.24, 
-0.675482,-1.37516,0,313.24, 
-0.678408,-1.37791,0,313.24, 
-0.681335,-1.38066,0,313.24, 
-0.684262,-1.38341,0,313.24, 
-0.687192,-1.38617,0,313.24, 
-0.690122,-1.38893,0,313.24, 
-0.693053,-1.39168,0,313.24, 
-0.695985,-1.39444,0,313.24, 
-0.698918,-1.3972,0,313.24, 
-0.701851,-1.39996,0,313.24, 
-0.704784,-1.40272,0,313.24, 
-0.707716,-1.40547,0,313.24, 
-0.710648,-1.40823,0,313.24, 
-0.713578,-1.41099,0,313.24, 
-0.716507,-1.41374,0,313.24, 
-0.719434,-1.41649,0,313.24, 
-0.72236,-1.41925,0,313.24, 
-0.725285,-1.422,0,313.24, 
-0.728209,-1.42475,0,313.24, 
-0.731132,-1.4275,0,313.24, 
-0.734055,-1.43025,0,313.24, 
-0.736978,-1.43299,0,313.24, 
-0.739901,-1.43574,0,313.24, 
-0.742826,-1.43849,0,313.24, 
-0.745751,-1.44125,0,313.24, 
-0.748258,-1.44357,0,309.18, 
-0.749297,-1.44435,0,305.15, 
-0.750352,-1.44505,0,301.09, 
-0.752433,-1.44626,0,297.02, 
-0.754383,-1.44721,0,292.58, 
-0.756213,-1.44793,0,288.5, 
-0.758139,-1.44853,0,284.02, 
-0.760097,-1.44899,0,279.48, 
-0.762234,-1.44932,0,274.85, 
-0.764306,-1.44948,0,270.42, 
-0.766494,-1.44946,0,265.99, 
-0.768661,-1.44928,0,261.56, 
-0.770795,-1.44895,0,257.13, 
-0.772889,-1.44846,0,252.69, 
-0.775007,-1.4478,0,248.26, 
-0.777063,-1.44698,0,243.82, 
-0.780653,-1.4452,0,243.83, 
-0.783758,-1.44366,0,239.4, 
-0.78663,-1.44196,0,239.38, 
-0.789479,-1.44029,0,239.36, 
-0.793237,-1.43809,0,239.33, 
-0.796669,-1.43608,0,239.32, 
-0.800093,-1.43407,0,239.31, 
-0.80351,-1.43207,0,239.3, 
-0.806923,-1.43008,0,239.28, 
-0.810332,-1.42808,0,239.27, 
-0.813788,-1.42604,0,239.26, 
-0.817244,-1.424,0,239.25, 
-0.8207,-1.42194,0,239.24, 
-0.824157,-1.41987,0,239.23, 
-0.827616,-1.41781,0,239.23, 
-0.831077,-1.41574,0,239.22, 
-0.834539,-1.41368,0,239.22, 
-0.838002,-1.41161,0,239.22, 
-0.841465,-1.40955,0,239.22, 
-0.844928,-1.40748,0,239.22, 
-0.848389,-1.40542,0,239.22, 
-0.851849,-1.40336,0,239.22, 
-0.855306,-1.4013,0,239.22, 
-0.858759,-1.39924,0,239.22, 
-0.862209,-1.39719,0,239.22, 
-0.865657,-1.39513,0,239.22, 
-0.869103,-1.39308,0,239.22, 
-0.872547,-1.39103,0,239.22, 
-0.87599,-1.38898,0,239.22, 
-0.879432,-1.38693,0,239.22, 
-0.882875,-1.38488,0,239.22, 
-0.886318,-1.38283,0,239.23, 
-0.889763,-1.38078,0,239.23, 
-0.893217,-1.37872,0,239.23, 
-0.896672,-1.37666,0,239.23, 
-0.900128,-1.37461,0,239.23, 
-0.903586,-1.37255,0,239.23, 
-0.907044,-1.37049,0,239.23, 
-0.910504,-1.36843,0,239.23, 
-0.913963,-1.36637,0,239.23, 
-0.917423,-1.36431,0,239.23, 
-0.920882,-1.36225,0,239.23, 
-0.924341,-1.36019,0,239.23, 
-0.927799,-1.35813,0,239.23, 
-0.931255,-1.35607,0,239.23, 
-0.934711,-1.35401,0,239.23, 
-0.938165,-1.35196,0,239.23, 
-0.941617,-1.3499,0,239.23, 
-0.945068,-1.34785,0,239.23, 
-0.948517,-1.34579,0,239.23, 
-0.951966,-1.34374,0,239.23, 
-0.955413,-1.34169,0,239.23, 
-0.95886,-1.33963,0,239.23, 
-0.962306,-1.33758,0,239.23, 
-0.965753,-1.33553,0,239.23, 
-0.9692,-1.33348,0,239.23, 
-0.972648,-1.33142,0,239.23, 
-0.976097,-1.32937,0,239.23, 
-0.979551,-1.32731,0,239.23, 
-0.983006,-1.32525,0,239.23, 
-0.986462,-1.3232,0,239.23, 
-0.98992,-1.32114,0,239.23, 
-0.993379,-1.31908,0,239.23, 
-0.996839,-1.31702,0,239.23, 
-1.0003,-1.31496,0,239.23, 
-1.00376,-1.31289,0,239.23, 
-1.00722,-1.31083,0,239.23, 
-1.01068,-1.30878,0,239.23, 
-1.01413,-1.30672,0,239.23, 
-1.01759,-1.30466,0,239.23, 
-1.02104,-1.3026,0,239.23, 
-1.0245,-1.30055,0,239.23, 
-1.02795,-1.29849,0,239.23, 
-1.0314,-1.29644,0,239.23, 
-1.03484,-1.29438,0,239.23, 
-1.03829,-1.29233,0,239.23, 
-1.04174,-1.29028,0,239.23, 
-1.04519,-1.28823,0,239.23, 
-1.04863,-1.28617,0,239.23, 
-1.05208,-1.28412,0,239.23, 
-1.05553,-1.28207,0,239.23, 
-1.05898,-1.28001,0,239.23, 
-1.06243,-1.27796,0,239.23, 
-1.06589,-1.2759,0,239.23, 
-1.06934,-1.27384,0,239.23, 
-1.0728,-1.27179,0,239.23, 
-1.07625,-1.26973,0,239.23, 
-1.07971,-1.26767,0,239.23, 
-1.08317,-1.26561,0,239.22, 
-1.08663,-1.26355,0,239.22, 
-1.09009,-1.26149,0,239.22, 
-1.09354,-1.25943,0,239.22, 
-1.097,-1.25737,0,239.22, 
-1.10046,-1.25531,0,239.22, 
-1.10392,-1.25325,0,239.22, 
-1.10737,-1.25119,0,239.22, 
-1.11083,-1.24914,0,239.23, 
-1.11428,-1.24708,0,239.23, 
-1.11773,-1.24502,0,239.23, 
-1.12118,-1.24297,0,239.23, 
-1.12463,-1.24092,0,239.23, 
-1.12808,-1.23886,0,239.23, 
-1.13152,-1.23681,0,239.23, 
-1.13497,-1.23476,0,239.23, 
-1.13842,-1.23271,0,239.23, 
-1.14186,-1.23065,0,239.23, 
-1.14531,-1.2286,0,239.23, 
-1.14876,-1.22655,0,239.23, 
-1.15222,-1.22449,0,239.23, 
-1.15567,-1.22243,0,239.23, 
-1.15912,-1.22038,0,239.23, 
-1.16258,-1.21832,0,239.23, 
-1.16604,-1.21626,0,239.23, 
-1.1695,-1.2142,0,239.23, 
-1.17296,-1.21214,0,239.23, 
-1.17642,-1.21008,0,239.23, 
-1.17988,-1.20802,0,239.23, 
-1.18333,-1.20596,0,239.23, 
-1.18679,-1.2039,0,239.22, 
-1.19025,-1.20184,0,239.22, 
-1.1937,-1.19978,0,239.22, 
-1.19716,-1.19773,0,239.22, 
-1.20061,-1.19567,0,239.22, 
-1.20406,-1.19361,0,239.22, 
-1.20751,-1.19156,0,239.22, 
-1.21096,-1.18951,0,239.22, 
-1.21441,-1.18745,0,239.22, 
-1.21786,-1.1854,0,239.22, 
-1.22131,-1.18335,0,239.22, 
-1.22475,-1.18129,0,239.23, 
-1.2282,-1.17924,0,239.23, 
-1.23165,-1.17719,0,239.23, 
-1.2351,-1.17513,0,239.23, 
-1.23855,-1.17308,0,239.23, 
-1.242,-1.17102,0,239.23, 
-1.24545,-1.16897,0,239.23, 
-1.24891,-1.16691,0,239.23, 
-1.25237,-1.16485,0,239.23, 
