[e4] 
x-value,z-value,robots,orientation
-1.09686,-0.771211,0,209.52, 
-1.09738,-0.770189,0,209.39, 
-1.09999,-0.765442,0,209.17, 
-1.1026,-0.760629,0,209.03, 
-1.10413,-0.757714,0,208.96, 
-1.10616,-0.753872,0,208.91, 
-1.1082,-0.750038,0,208.86, 
-1.11006,-0.746533,0,208.84, 
-1.11198,-0.743064,0,208.82, 
-1.1139,-0.739604,0,208.82, 
-1.11582,-0.736148,0,208.81, 
-1.11777,-0.732621,0,208.81, 
-1.11973,-0.729094,0,208.82, 
-1.12169,-0.725565,0,208.82, 
-1.12365,-0.722035,0,208.83, 
-1.12561,-0.718505,0,208.83, 
-1.12756,-0.714973,0,208.83, 
-1.12952,-0.71144,0,208.83, 
-1.13147,-0.707908,0,208.83, 
-1.13342,-0.704377,0,208.84, 
-1.13537,-0.700847,0,208.83, 
-1.13732,-0.697319,0,208.83, 
-1.13926,-0.693799,0,208.83, 
-1.14119,-0.690283,0,208.83, 
-1.14313,-0.686769,0,208.83, 
-1.14506,-0.683258,0,208.83, 
-1.14699,-0.679748,0,208.83, 
-1.14892,-0.67624,0,208.82, 
-1.15085,-0.672733,0,208.82, 
-1.15278,-0.669225,0,208.82, 
-1.15471,-0.665716,0,208.82, 
-1.15665,-0.662204,0,208.82, 
-1.15858,-0.658681,0,208.82, 
-1.16052,-0.655156,0,208.82, 
-1.16247,-0.651628,0,208.82, 
-1.16441,-0.648098,0,208.82, 
-1.16635,-0.644567,0,208.82, 
-1.16829,-0.641036,0,208.82, 
-1.17024,-0.637505,0,208.82, 
-1.17218,-0.633975,0,208.82, 
-1.17412,-0.630446,0,208.82, 
-1.17606,-0.62692,0,208.82, 
-1.178,-0.623395,0,208.82, 
-1.17994,-0.619873,0,208.82, 
-1.18187,-0.616353,0,208.82, 
-1.18381,-0.612835,0,208.82, 
-1.18574,-0.609319,0,208.82, 
-1.18768,-0.605803,0,208.82, 
-1.18961,-0.602289,0,208.82, 
-1.19154,-0.598775,0,208.82, 
-1.19348,-0.59526,0,208.82, 
-1.19541,-0.591746,0,208.82, 
-1.19735,-0.588231,0,208.82, 
-1.19928,-0.584716,0,208.82, 
-1.20121,-0.581199,0,208.82, 
-1.20315,-0.577681,0,208.82, 
-1.20509,-0.574162,0,208.82, 
-1.20702,-0.57064,0,208.82, 
-1.20896,-0.567116,0,208.82, 
-1.2109,-0.563591,0,208.82, 
-1.21284,-0.560064,0,208.82, 
-1.21478,-0.556536,0,208.82, 
-1.21672,-0.553007,0,208.82, 
-1.21867,-0.549477,0,208.82, 
-1.22061,-0.545946,0,208.82, 
-1.22255,-0.542416,0,208.82, 
