[e3] 
x-value,z-value,robots,orientation
-0.473885,0.503968,0,61.32, 
-0.470373,0.502097,0,61.49, 
-0.466825,0.500233,0,61.62, 
-0.463265,0.498384,0,61.71, 
-0.459701,0.496545,0,61.77, 
-0.456142,0.494708,0,61.82, 
-0.452584,0.492872,0,61.85, 
-0.449028,0.491025,0,61.87, 
-0.445474,0.489123,0,61.87, 
-0.441921,0.487211,0,61.87, 
-0.438371,0.485298,0,61.87, 
-0.434821,0.483384,0,61.87, 
-0.431273,0.481471,0,61.86, 
-0.427726,0.479558,0,61.86, 
-0.424179,0.477646,0,61.85, 
-0.420633,0.475736,0,61.85, 
-0.417087,0.473827,0,61.84, 
-0.413541,0.471919,0,61.84, 
-0.409995,0.470014,0,61.84, 
-0.40645,0.468112,0,61.84, 
-0.402904,0.466215,0,61.84, 
-0.39936,0.464318,0,61.84, 
-0.395817,0.462422,0,61.84, 
-0.392276,0.460526,0,61.84, 
-0.388737,0.458631,0,61.84, 
-0.385199,0.456736,0,61.84, 
-0.381662,0.454843,0,61.84, 
-0.378125,0.45295,0,61.84, 
-0.374581,0.451053,0,61.84, 
-0.371037,0.449156,1,61.84, 
-0.367493,0.447259,1,61.85, 
-0.363949,0.445363,1,61.85, 
-0.360405,0.443466,1,61.85, 
-0.356861,0.44157,1,61.85, 
-0.353317,0.439673,1,61.85, 
-0.349773,0.437777,1,61.85, 
-0.346229,0.43588,1,61.85, 
-0.342686,0.433984,1,61.85, 
-0.339142,0.432087,1,61.85, 
-0.335598,0.430191,1,61.85, 
-0.332054,0.428294,1,61.85, 
-0.32851,0.426398,1,61.85, 
-0.324966,0.424502,1,61.85, 
-0.321967,0.422865,1,57.83, 
-0.320898,0.422129,1,53.76, 
-0.319882,0.421347,1,49.59, 
-0.317937,0.419648,1,45.21, 
-0.316435,0.418094,1,40.77, 
-0.315182,0.416584,1,36.7, 
-0.31401,0.414948,1,32.23, 
-0.312864,0.413069,1,27.75, 
-0.311868,0.411115,1,23.25, 
-0.311029,0.409102,1,18.72, 
-0.309764,0.40529,1,18.78, 
-0.308472,0.401474,1,18.82, 
-0.307164,0.397662,1,18.86, 
-0.305843,0.393853,1,18.89, 
-0.304514,0.390047,1,18.92, 
-0.30318,0.386243,1,18.94, 
-0.301845,0.382441,2,18.96, 
-0.30051,0.378641,2,18.98, 
-0.299176,0.374841,2,19, 
-0.29786,0.371039,2,19.01, 
-0.296557,0.367236,2,19.02, 
-0.295252,0.363435,2,19.03, 
-0.293945,0.359635,3,19.04, 
-0.292781,0.356211,3,16.28, 
-0.292196,0.354122,3,13.49, 
-0.291711,0.352012,3,10.82, 
-0.291184,0.349114,3,8.09, 
-0.290824,0.346286,4,5.65, 
-0.290582,0.343402,5,3.21, 
-0.290438,0.340232,6,3.22, 
-0.290283,0.337076,6,0.08, 
-0.290304,0.333889,6,356.94, 
-0.290469,0.331309,6,353.97, 
-0.290798,0.328424,7,351.15, 
-0.291278,0.325496,7,348.51, 
-0.292108,0.321551,8,348.52, 
-0.292789,0.318256,8,352.94, 
-0.292886,0.317255,8,357.41, 
-0.292924,0.316264,8,1.71, 
-0.292831,0.313983,8,6.19, 
-0.292581,0.312032,8,10.22, 
-0.292185,0.309959,8,14.14, 
-0.291543,0.307543,8,17.87, 
-0.290718,0.305083,8,21.37, 
-0.289717,0.3026,8,24.66, 
-0.288546,0.300106,8,27.75, 
-0.287212,0.297612,8,30.67, 
-0.28572,0.295128,8,33.41, 
-0.284079,0.292664,8,36, 
-0.282295,0.290226,8,38.44, 
-0.280375,0.287821,8,40.74, 
-0.278328,0.285453,8,42.91, 
-0.276158,0.283128,8,44.95, 
-0.273874,0.280848,8,46.89, 
-0.271482,0.278616,8,48.71, 
-0.268988,0.276434,8,50.43, 
-0.2664,0.274302,8,52.05, 
-0.263721,0.272222,8,53.59, 
-0.260958,0.270192,8,55.03, 
-0.258117,0.268214,8,56.39, 
-0.255204,0.266287,8,57.67, 
-0.252223,0.26441,8,58.89, 
-0.249156,0.262598,8,59.96, 
-0.246033,0.260828,8,60.98, 
-0.242861,0.2591,8,61.95, 
-0.239641,0.257413,8,62.86, 
-0.236378,0.255767,8,63.73, 
-0.233074,0.254161,8,64.56, 
-0.229731,0.252593,8,65.34, 
-0.226352,0.251062,8,66.09, 
-0.222941,0.249569,8,66.8, 
-0.219498,0.248111,8,67.48, 
-0.216026,0.246687,8,68.12, 
-0.212526,0.245296,8,68.73, 
-0.209006,0.24394,8,69.3, 
-0.205471,0.242617,8,69.82, 
-0.201919,0.241323,8,70.31, 
-0.198342,0.240055,8,70.79, 
-0.194748,0.238813,8,71.25, 
-0.191135,0.237596,8,71.69, 
